id_viagem;dt_inicio;dt_fim;qt_tempo_previsto;qt_tempo_real;ds_status;nm_linha;ds_origem;ds_destino;qt_nivel_congestionamento_pct;qt_velocidade_media_kmh;dt_transito
38;2026-05-02 06:10:00;2026-05-02 07:33:00;80;83,0;Concluida;Linha Ecologica 2;Centro;Parque Azul;44;47,72;2026-05-02 06:22:00
39;2026-05-02 06:45:00;2026-05-02 07:18:00;37;33,0;Concluida;Linha Bairro Alto;Bairro Alto;Centro;12;41,12;2026-05-02 07:17:00
44;2026-05-02 09:40:00;2026-05-02 10:46:00;51;66,0;Concluida;Linha Circular 2;Bairro Industrial;Centro;58;28,48;2026-05-02 10:19:00
45;2026-05-02 10:15:00;2026-05-02 11:53:00;79;98,0;Concluida;Linha Alpha Norte;Alvorada;Norte;5;64,25;2026-05-02 10:30:00
46;2026-05-02 10:50:00;2026-05-02 12:28:00;84;98,0;Concluida;Linha Alpha Sul;Sul;Centro;22;43,43;2026-05-02 11:02:00
47;2026-05-02 11:25:00;2026-05-02 12:56:00;85;91,0;Concluida;Linha Beta Oeste;Oeste;Centro;31;41,4;2026-05-02 11:41:00
49;2026-05-02 12:35:00;2026-05-02 13:16:00;42;41,0;Concluida;Linha Universitaria 1;Centro;Universidade Alpha;83;10,6;2026-05-02 13:08:00
50;2026-05-02 13:10:00;2026-05-02 14:08:00;39;58,0;Concluida;Linha Universitaria 2;Universidade Alpha;Centro;80;16,11;2026-05-02 13:45:00
51;2026-05-02 13:45:00;2026-05-02 15:06:00;60;81,0;Concluida;Linha Hospital Norte;Centro;Hospital Alpha;46;56,87;2026-05-02 13:54:00
53;2026-05-02 14:55:00;2026-05-02 15:37:00;37;42,0;Concluida;Linha Comercial Norte;Centro;Distrito Comercial;69;32,07;2026-05-02 15:09:00
54;2026-05-02 15:30:00;2026-05-02 16:45:00;62;75,0;Concluida;Linha Comercial Sul;Distrito Comercial;Centro;5;62,9;2026-05-02 15:40:00
55;2026-05-02 16:05:00;2026-05-02 17:32:00;81;87,0;Concluida;Linha Industrial 1;Centro;Polo Industrial;92;18,99;2026-05-02 16:49:00
57;2026-05-02 17:15:00;2026-05-02 18:39:00;77;84,0;Concluida;Linha Residencial A;Residencial Alpha;Centro;16;35,25;2026-05-02 17:49:00
65;2026-05-02 21:55:00;2026-05-02 23:11:00;78;76,0;Concluida;Linha Terminal Oeste;Terminal Oeste;Centro;64;24,92;2026-05-02 22:20:00
67;2026-05-02 23:05:00;2026-05-03 00:02:00;40;57,0;Concluida;Linha Circular Norte;Norte;Oeste;12;50,43;2026-05-02 23:50:00
68;2026-05-02 23:40:00;2026-05-03 01:01:00;58;81,0;Concluida;Linha Circular Sul;Sul;Leste;75;33,94;2026-05-03 00:02:00
71;2026-05-03 05:00:00;2026-05-03 06:28:00;89;88,0;Concluida;Linha Expresso Norte;Terminal Norte;Terminal Sul;54;25,62;2026-05-03 05:08:00
74;2026-05-03 06:45:00;2026-05-03 07:22:00;37;37,0;Concluida;Linha Escolar 2;Escola Alpha;Centro;38;47,98;2026-05-03 06:53:00
79;2026-05-03 09:40:00;2026-05-03 10:31:00;35;51,0;Concluida;Linha Bairro Alto;Bairro Alto;Centro;15;45,92;2026-05-03 10:13:00
80;2026-05-03 10:15:00;2026-05-03 11:11:00;55;56,0;Concluida;Linha Bairro Novo;Bairro Novo;Centro;71;25,05;2026-05-03 10:37:00
81;2026-05-03 10:50:00;2026-05-03 11:52:00;64;62,0;Concluida;Linha Centro Norte;Terminal Norte;Centro;84;15,98;2026-05-03 11:23:00
83;2026-05-03 12:00:00;2026-05-03 13:36:00;92;96,0;Concluida;Linha Circular 1;Centro;Bairro Industrial;72;27,76;2026-05-03 12:33:00
84;2026-05-03 12:35:00;2026-05-03 14:10:00;83;95,0;Concluida;Linha Circular 2;Bairro Industrial;Centro;54;32,99;2026-05-03 13:15:00
85;2026-05-03 13:10:00;2026-05-03 14:01:00;50;51,0;Concluida;Linha Alpha Norte;Alvorada;Norte;18;43,4;2026-05-03 13:25:00
86;2026-05-03 13:45:00;2026-05-03 14:40:00;38;55,0;Concluida;Linha Alpha Sul;Sul;Centro;86;12,5;2026-05-03 13:57:00
88;2026-05-03 14:55:00;2026-05-03 15:49:00;58;54,0;Concluida;Linha Beta Leste;Leste;Centro;96;13,27;2026-05-03 15:31:00
89;2026-05-03 15:30:00;2026-05-03 17:10:00;80;100,0;Concluida;Linha Universitaria 1;Centro;Universidade Alpha;87;11,68;2026-05-03 15:43:00
92;2026-05-03 17:15:00;2026-05-03 18:52:00;91;97,0;Concluida;Linha Hospital Sul;Hospital Alpha;Centro;53;31,52;2026-05-03 17:23:00
94;2026-05-03 18:25:00;2026-05-03 20:00:00;94;95,0;Concluida;Linha Comercial Sul;Distrito Comercial;Centro;51;32,6;2026-05-03 18:55:00
97;2026-05-03 20:10:00;2026-05-03 21:23:00;61;73,0;Concluida;Linha Residencial A;Residencial Alpha;Centro;98;9,98;2026-05-03 20:49:00
98;2026-05-03 20:45:00;2026-05-03 21:47:00;66;62,0;Concluida;Linha Residencial B;Centro;Residencial Beta;64;35,98;2026-05-03 21:03:00
100;2026-05-03 21:55:00;2026-05-03 23:17:00;85;82,0;Concluida;Linha Parque Azul;Parque Azul;Centro;87;13,05;2026-05-03 22:14:00
105;2026-05-04 00:50:00;2026-05-04 01:51:00;67;61,0;Concluida;Linha Terminal Oeste;Terminal Oeste;Centro;37;46,9;2026-05-04 01:04:00
111;2026-05-04 07:55:00;2026-05-04 09:31:00;88;96,0;Concluida;Linha Expresso Norte;Terminal Norte;Terminal Sul;20;47,51;2026-05-04 08:01:00
116;2026-05-04 10:50:00;2026-05-04 12:17:00;92;87,0;Concluida;Linha Inovacao;Parque Tecnologico;Centro;68;35,58;2026-05-04 11:15:00
117;2026-05-04 11:25:00;2026-05-04 13:04:00;80;99,0;Concluida;Linha Ecologica 1;Parque Verde;Centro;66;29,85;2026-05-04 11:55:00
119;2026-05-04 12:35:00;2026-05-04 13:21:00;37;46,0;Concluida;Linha Bairro Alto;Bairro Alto;Centro;10;51,33;2026-05-04 13:14:00
120;2026-05-04 13:10:00;2026-05-04 14:00:00;46;50,0;Concluida;Linha Bairro Novo;Bairro Novo;Centro;46;35,65;2026-05-04 13:27:00
121;2026-05-04 13:45:00;2026-05-04 15:19:00;84;94,0;Concluida;Linha Centro Norte;Terminal Norte;Centro;41;58,99;2026-05-04 14:05:00
122;2026-05-04 14:20:00;2026-05-04 16:03:00;91;103,0;Concluida;Linha Centro Sul;Centro;Terminal Sul;55;33,13;2026-05-04 14:50:00
125;2026-05-04 16:05:00;2026-05-04 17:25:00;61;80,0;Concluida;Linha Alpha Norte;Alvorada;Norte;34;47,58;2026-05-04 16:49:00
126;2026-05-04 16:40:00;2026-05-04 18:05:00;60;85,0;Concluida;Linha Alpha Sul;Sul;Centro;33;63,79;2026-05-04 17:19:00
129;2026-05-04 18:25:00;2026-05-04 19:19:00;48;54,0;Concluida;Linha Universitaria 1;Centro;Universidade Alpha;55;34,57;2026-05-04 19:01:00
130;2026-05-04 19:00:00;2026-05-04 20:03:00;71;63,0;Concluida;Linha Universitaria 2;Universidade Alpha;Centro;71;31,26;2026-05-04 19:40:00
132;2026-05-04 20:10:00;2026-05-04 21:42:00;72;92,0;Concluida;Linha Hospital Sul;Hospital Alpha;Centro;48;57,18;2026-05-04 20:51:00
135;2026-05-04 21:55:00;2026-05-04 23:13:00;64;78,0;Concluida;Linha Industrial 1;Centro;Polo Industrial;26;57,06;2026-05-04 22:09:00
136;2026-05-04 22:30:00;2026-05-05 00:06:00;93;96,0;Concluida;Linha Industrial 2;Polo Industrial;Centro;91;13,12;2026-05-04 23:00:00
137;2026-05-04 23:05:00;2026-05-05 00:28:00;66;83,0;Concluida;Linha Residencial A;Residencial Alpha;Centro;98;15,4;2026-05-04 23:12:00
140;2026-05-05 00:50:00;2026-05-05 01:53:00;64;63,0;Concluida;Linha Parque Azul;Parque Azul;Centro;47;64,21;2026-05-05 01:24:00
141;2026-05-05 05:00:00;2026-05-05 06:37:00;81;97,0;Concluida;Linha Aeroporto 1;Centro;Aeroporto Alpha;62;32,12;2026-05-05 05:12:00
145;2026-05-05 07:20:00;2026-05-05 08:34:00;78;74,0;Concluida;Linha Terminal Oeste;Terminal Oeste;Centro;97;20,81;2026-05-05 07:40:00
148;2026-05-05 09:05:00;2026-05-05 09:58:00;55;53,0;Concluida;Linha Circular Sul;Sul;Leste;72;37,48;2026-05-05 09:20:00
151;2026-05-05 10:50:00;2026-05-05 11:25:00;35;35,0;Concluida;Linha Expresso Norte;Terminal Norte;Terminal Sul;46;60,29;2026-05-05 11:00:00
153;2026-05-05 12:00:00;2026-05-05 13:54:00;91;114,0;Concluida;Linha Escolar 1;Centro;Escola Alpha;20;48,52;2026-05-05 12:30:00
154;2026-05-05 12:35:00;2026-05-05 13:43:00;61;68,0;Concluida;Linha Escolar 2;Escola Alpha;Centro;46;57,17;2026-05-05 12:46:00
155;2026-05-05 13:10:00;2026-05-05 14:09:00;54;59,0;Concluida;Linha Tecnologia;Centro;Parque Tecnologico;38;50,94;2026-05-05 13:21:00
160;2026-05-05 16:05:00;2026-05-05 17:45:00;86;100,0;Concluida;Linha Bairro Novo;Bairro Novo;Centro;59;30,95;2026-05-05 16:37:00
161;2026-05-05 16:40:00;2026-05-05 18:05:00;84;85,0;Concluida;Linha Centro Norte;Terminal Norte;Centro;22;61,68;2026-05-05 16:47:00
162;2026-05-05 17:15:00;2026-05-05 18:33:00;80;78,0;Concluida;Linha Centro Sul;Centro;Terminal Sul;63;31,46;2026-05-05 17:21:00
163;2026-05-05 17:50:00;2026-05-05 19:29:00;83;99,0;Concluida;Linha Circular 1;Centro;Bairro Industrial;27;52,43;2026-05-05 18:16:00
164;2026-05-05 18:25:00;2026-05-05 19:34:00;61;69,0;Concluida;Linha Circular 2;Bairro Industrial;Centro;42;43,51;2026-05-05 19:00:00
166;2026-05-05 19:35:00;2026-05-05 20:53:00;73;78,0;Concluida;Linha Alpha Sul;Sul;Centro;34;52,26;2026-05-05 19:41:00
167;2026-05-05 20:10:00;2026-05-05 20:48:00;41;38,0;Concluida;Linha Beta Oeste;Oeste;Centro;6;50,43;2026-05-05 20:26:00
168;2026-05-05 20:45:00;2026-05-05 22:27:00;77;102,0;Concluida;Linha Beta Leste;Leste;Centro;18;35,26;2026-05-05 21:01:00
172;2026-05-05 23:05:00;2026-05-06 00:11:00;46;66,0;Concluida;Linha Hospital Sul;Hospital Alpha;Centro;26;52,1;2026-05-05 23:38:00
173;2026-05-05 23:40:00;2026-05-06 00:48:00;65;68,0;Concluida;Linha Comercial Norte;Centro;Distrito Comercial;95;8,27;2026-05-05 23:54:00
176;2026-05-06 05:00:00;2026-05-06 06:07:00;51;67,0;Concluida;Linha Industrial 2;Polo Industrial;Centro;55;31,09;2026-05-06 05:45:00
179;2026-05-06 06:45:00;2026-05-06 07:57:00;47;72,0;Concluida;Linha Parque Verde;Centro;Parque Verde;43;57,2;2026-05-06 07:02:00
183;2026-05-06 09:05:00;2026-05-06 10:49:00;80;104,0;Concluida;Linha Shopping Norte;Centro;Shopping Alpha;36;49,77;2026-05-06 09:20:00
186;2026-05-06 10:50:00;2026-05-06 12:02:00;63;72,0;Concluida;Linha Terminal Leste;Centro;Terminal Leste;64;24,43;2026-05-06 11:00:00
189;2026-05-06 12:35:00;2026-05-06 14:05:00;92;90,0;Concluida;Linha Metropolitana 1;Centro;Cidade Beta;44;57,3;2026-05-06 13:19:00
190;2026-05-06 13:10:00;2026-05-06 14:05:00;55;55,0;Concluida;Linha Metropolitana 2;Cidade Beta;Centro;23;48,76;2026-05-06 13:17:00
197;2026-05-06 17:15:00;2026-05-06 18:48:00;94;93,0;Concluida;Linha Ecologica 1;Parque Verde;Centro;78;22,02;2026-05-06 17:25:00
198;2026-05-06 17:50:00;2026-05-06 19:33:00;95;103,0;Concluida;Linha Ecologica 2;Centro;Parque Azul;85;13,74;2026-05-06 18:19:00
200;2026-05-06 19:00:00;2026-05-06 20:35:00;75;95,0;Concluida;Linha Bairro Novo;Bairro Novo;Centro;70;34,8;2026-05-06 19:22:00
203;2026-05-06 20:45:00;2026-05-06 21:55:00;46;70,0;Concluida;Linha Circular 1;Centro;Bairro Industrial;17;41,34;2026-05-06 21:19:00
209;2026-05-07 00:15:00;2026-05-07 01:47:00;81;92,0;Concluida;Linha Universitaria 1;Centro;Universidade Alpha;94;10,18;2026-05-07 00:23:00
210;2026-05-07 00:50:00;2026-05-07 02:38:00;88;108,0;Concluida;Linha Universitaria 2;Universidade Alpha;Centro;73;37,26;2026-05-07 01:16:00
211;2026-05-07 05:00:00;2026-05-07 06:05:00;69;65,0;Concluida;Linha Hospital Norte;Centro;Hospital Alpha;49;64,28;2026-05-07 05:37:00
214;2026-05-07 06:45:00;2026-05-07 08:12:00;66;87,0;Concluida;Linha Comercial Sul;Distrito Comercial;Centro;57;37,44;2026-05-07 07:23:00
215;2026-05-07 07:20:00;2026-05-07 08:59:00;81;99,0;Concluida;Linha Industrial 1;Centro;Polo Industrial;68;34,21;2026-05-07 07:52:00
221;2026-05-07 10:50:00;2026-05-07 12:27:00;76;97,0;Concluida;Linha Aeroporto 1;Centro;Aeroporto Alpha;19;60,71;2026-05-07 11:07:00
223;2026-05-07 12:00:00;2026-05-07 13:26:00;73;86,0;Concluida;Linha Shopping Norte;Centro;Shopping Alpha;96;11,25;2026-05-07 12:29:00
225;2026-05-07 13:10:00;2026-05-07 13:44:00;35;34,0;Concluida;Linha Terminal Oeste;Terminal Oeste;Centro;60;22,97;2026-05-07 13:55:00
226;2026-05-07 13:45:00;2026-05-07 14:40:00;61;55,0;Concluida;Linha Terminal Leste;Centro;Terminal Leste;74;37,52;2026-05-07 13:59:00
233;2026-05-07 17:50:00;2026-05-07 18:26:00;41;36,0;Concluida;Linha Escolar 1;Centro;Escola Alpha;7;60,82;2026-05-07 18:21:00
236;2026-05-07 19:35:00;2026-05-07 20:33:00;63;58,0;Concluida;Linha Inovacao;Parque Tecnologico;Centro;67;30,93;2026-05-07 19:46:00
237;2026-05-07 20:10:00;2026-05-07 21:44:00;74;94,0;Concluida;Linha Ecologica 1;Parque Verde;Centro;65;26,44;2026-05-07 20:45:00
240;2026-05-07 21:55:00;2026-05-07 23:20:00;90;85,0;Concluida;Linha Bairro Novo;Bairro Novo;Centro;82;8,18;2026-05-07 22:16:00
241;2026-05-07 22:30:00;2026-05-07 23:59:00;82;89,0;Concluida;Linha Centro Norte;Terminal Norte;Centro;17;41,88;2026-05-07 22:35:00
242;2026-05-07 23:05:00;2026-05-08 00:51:00;92;106,0;Concluida;Linha Centro Sul;Centro;Terminal Sul;5;56,62;2026-05-07 23:43:00
243;2026-05-07 23:40:00;2026-05-08 01:02:00;65;82,0;Concluida;Linha Circular 1;Centro;Bairro Industrial;39;41,45;2026-05-07 23:54:00
244;2026-05-08 00:15:00;2026-05-08 01:16:00;41;61,0;Concluida;Linha Circular 2;Bairro Industrial;Centro;87;8,59;2026-05-08 00:48:00
245;2026-05-08 00:50:00;2026-05-08 01:51:00;42;61,0;Concluida;Linha Alpha Norte;Alvorada;Norte;78;36,52;2026-05-08 01:35:00
247;2026-05-08 05:35:00;2026-05-08 06:27:00;41;52,0;Concluida;Linha Beta Oeste;Oeste;Centro;69;24,02;2026-05-08 05:44:00
248;2026-05-08 06:10:00;2026-05-08 07:13:00;55;63,0;Concluida;Linha Beta Leste;Leste;Centro;22;40,36;2026-05-08 06:45:00
250;2026-05-08 07:20:00;2026-05-08 08:16:00;56;56,0;Concluida;Linha Universitaria 2;Universidade Alpha;Centro;12;53,68;2026-05-08 07:39:00
253;2026-05-08 09:05:00;2026-05-08 10:31:00;80;86,0;Concluida;Linha Comercial Norte;Centro;Distrito Comercial;11;52,77;2026-05-08 09:48:00
257;2026-05-08 11:25:00;2026-05-08 12:04:00;37;39,0;Concluida;Linha Residencial A;Residencial Alpha;Centro;67;29,68;2026-05-08 11:49:00
259;2026-05-08 12:35:00;2026-05-08 14:23:00;90;108,0;Concluida;Linha Parque Verde;Centro;Parque Verde;62;23,33;2026-05-08 12:50:00
260;2026-05-08 13:10:00;2026-05-08 14:35:00;60;85,0;Concluida;Linha Parque Azul;Parque Azul;Centro;73;37,05;2026-05-08 13:50:00
262;2026-05-08 14:20:00;2026-05-08 15:14:00;45;54,0;Concluida;Linha Aeroporto 2;Aeroporto Alpha;Centro;29;57,77;2026-05-08 15:02:00
263;2026-05-08 14:55:00;2026-05-08 15:50:00;46;55,0;Concluida;Linha Shopping Norte;Centro;Shopping Alpha;63;24,52;2026-05-08 15:22:00
267;2026-05-08 17:15:00;2026-05-08 19:12:00;93;117,0;Concluida;Linha Circular Norte;Norte;Oeste;83;16,74;2026-05-08 17:43:00
270;2026-05-08 19:00:00;2026-05-08 20:29:00;88;89,0;Concluida;Linha Metropolitana 2;Cidade Beta;Centro;70;36,41;2026-05-08 19:42:00
272;2026-05-08 20:10:00;2026-05-08 21:24:00;80;74,0;Concluida;Linha Expresso Sul;Terminal Sul;Terminal Norte;34;60,62;2026-05-08 20:33:00
274;2026-05-08 21:20:00;2026-05-08 22:10:00;56;50,0;Concluida;Linha Escolar 2;Escola Alpha;Centro;69;21,91;2026-05-08 21:44:00
275;2026-05-08 21:55:00;2026-05-08 23:21:00;65;86,0;Concluida;Linha Tecnologia;Centro;Parque Tecnologico;13;54,35;2026-05-08 22:01:00
276;2026-05-08 22:30:00;2026-05-08 23:49:00;84;79,0;Concluida;Linha Inovacao;Parque Tecnologico;Centro;89;13,03;2026-05-08 22:48:00
277;2026-05-08 23:05:00;2026-05-09 00:35:00;77;90,0;Concluida;Linha Ecologica 1;Parque Verde;Centro;64;20,69;2026-05-08 23:49:00
281;2026-05-09 05:00:00;2026-05-09 06:39:00;82;99,0;Concluida;Linha Centro Norte;Terminal Norte;Centro;12;38,11;2026-05-09 05:14:00
284;2026-05-09 06:45:00;2026-05-09 07:57:00;58;72,0;Concluida;Linha Circular 2;Bairro Industrial;Centro;15;57,89;2026-05-09 07:16:00
285;2026-05-09 07:20:00;2026-05-09 08:36:00;58;76,0;Concluida;Linha Alpha Norte;Alvorada;Norte;93;21,34;2026-05-09 07:50:00
286;2026-05-09 07:55:00;2026-05-09 08:51:00;38;56,0;Concluida;Linha Alpha Sul;Sul;Centro;90;15,41;2026-05-09 08:33:00
288;2026-05-09 09:05:00;2026-05-09 10:29:00;92;84,0;Concluida;Linha Beta Leste;Leste;Centro;81;14,0;2026-05-09 09:41:00
289;2026-05-09 09:40:00;2026-05-09 10:15:00;39;35,0;Concluida;Linha Universitaria 1;Centro;Universidade Alpha;98;11,22;2026-05-09 10:25:00
290;2026-05-09 10:15:00;2026-05-09 11:25:00;54;70,0;Concluida;Linha Universitaria 2;Universidade Alpha;Centro;41;55,62;2026-05-09 10:35:00
291;2026-05-09 10:50:00;2026-05-09 12:05:00;67;75,0;Concluida;Linha Hospital Norte;Centro;Hospital Alpha;55;31,47;2026-05-09 11:20:00
292;2026-05-09 11:25:00;2026-05-09 12:19:00;54;54,0;Concluida;Linha Hospital Sul;Hospital Alpha;Centro;95;20,68;2026-05-09 11:54:00
295;2026-05-09 13:10:00;2026-05-09 14:00:00;43;50,0;Concluida;Linha Industrial 1;Centro;Polo Industrial;76;23,94;2026-05-09 13:47:00
296;2026-05-09 13:45:00;2026-05-09 14:41:00;49;56,0;Concluida;Linha Industrial 2;Polo Industrial;Centro;10;46,26;2026-05-09 14:08:00
297;2026-05-09 14:20:00;2026-05-09 15:36:00;65;76,0;Concluida;Linha Residencial A;Residencial Alpha;Centro;60;29,5;2026-05-09 15:05:00
300;2026-05-09 16:05:00;2026-05-09 17:14:00;62;69,0;Concluida;Linha Parque Azul;Parque Azul;Centro;46;57,47;2026-05-09 16:18:00
301;2026-05-09 16:40:00;2026-05-09 18:03:00;64;83,0;Concluida;Linha Aeroporto 1;Centro;Aeroporto Alpha;77;21,1;2026-05-09 17:21:00
302;2026-05-09 17:15:00;2026-05-09 18:39:00;91;84,0;Concluida;Linha Aeroporto 2;Aeroporto Alpha;Centro;26;57,35;2026-05-09 17:40:00
303;2026-05-09 17:50:00;2026-05-09 19:50:00;95;120,0;Concluida;Linha Shopping Norte;Centro;Shopping Alpha;21;61,49;2026-05-09 18:23:00
304;2026-05-09 18:25:00;2026-05-09 19:41:00;73;76,0;Concluida;Linha Shopping Sul;Shopping Alpha;Centro;62;26,3;2026-05-09 18:53:00
307;2026-05-09 20:10:00;2026-05-09 21:31:00;59;81,0;Concluida;Linha Circular Norte;Norte;Oeste;74;23,34;2026-05-09 20:16:00
311;2026-05-09 22:30:00;2026-05-09 23:51:00;70;81,0;Concluida;Linha Expresso Norte;Terminal Norte;Terminal Sul;51;29,98;2026-05-09 22:50:00
314;2026-05-10 00:15:00;2026-05-10 01:53:00;88;98,0;Concluida;Linha Escolar 2;Escola Alpha;Centro;44;41,0;2026-05-10 00:47:00
318;2026-05-10 06:10:00;2026-05-10 08:01:00;87;111,0;Concluida;Linha Ecologica 2;Centro;Parque Azul;85;8,86;2026-05-10 06:45:00
322;2026-05-10 08:30:00;2026-05-10 09:52:00;59;82,0;Concluida;Linha Centro Sul;Centro;Terminal Sul;20;35,86;2026-05-10 09:02:00
329;2026-05-10 12:35:00;2026-05-10 13:39:00;58;64,0;Concluida;Linha Universitaria 1;Centro;Universidade Alpha;44;53,44;2026-05-10 13:15:00
337;2026-05-10 17:15:00;2026-05-10 18:31:00;81;76,0;Concluida;Linha Residencial A;Residencial Alpha;Centro;31;56,44;2026-05-10 17:56:00
340;2026-05-10 19:00:00;2026-05-10 20:26:00;93;86,0;Concluida;Linha Parque Azul;Parque Azul;Centro;57;30,74;2026-05-10 19:27:00
343;2026-05-10 20:45:00;2026-05-10 22:08:00;62;83,0;Concluida;Linha Shopping Norte;Centro;Shopping Alpha;35;63,48;2026-05-10 20:57:00
347;2026-05-10 23:05:00;2026-05-11 00:10:00;43;65,0;Concluida;Linha Circular Norte;Norte;Oeste;10;60,85;2026-05-10 23:11:00
348;2026-05-10 23:40:00;2026-05-11 00:56:00;84;76,0;Concluida;Linha Circular Sul;Sul;Leste;92;15,65;2026-05-11 00:20:00
349;2026-05-11 00:15:00;2026-05-11 01:18:00;38;63,0;Concluida;Linha Metropolitana 1;Centro;Cidade Beta;45;52,26;2026-05-11 00:29:00
351;2026-05-11 05:00:00;2026-05-11 06:36:00;82;96,0;Concluida;Linha Expresso Norte;Terminal Norte;Terminal Sul;20;47,82;2026-05-11 05:17:00
352;2026-05-11 05:35:00;2026-05-11 06:36:00;47;61,0;Concluida;Linha Expresso Sul;Terminal Sul;Terminal Norte;81;15,84;2026-05-11 05:48:00
353;2026-05-11 06:10:00;2026-05-11 07:35:00;78;85,0;Concluida;Linha Escolar 1;Centro;Escola Alpha;10;46,31;2026-05-11 06:47:00
354;2026-05-11 06:45:00;2026-05-11 08:00:00;53;75,0;Concluida;Linha Escolar 2;Escola Alpha;Centro;33;55,6;2026-05-11 07:09:00
355;2026-05-11 07:20:00;2026-05-11 08:47:00;88;87,0;Concluida;Linha Tecnologia;Centro;Parque Tecnologico;95;16,35;2026-05-11 07:26:00
356;2026-05-11 07:55:00;2026-05-11 09:31:00;90;96,0;Concluida;Linha Inovacao;Parque Tecnologico;Centro;17;36,98;2026-05-11 08:24:00
357;2026-05-11 08:30:00;2026-05-11 10:07:00;93;97,0;Concluida;Linha Ecologica 1;Parque Verde;Centro;39;55,56;2026-05-11 08:36:00
358;2026-05-11 09:05:00;2026-05-11 10:44:00;87;99,0;Concluida;Linha Ecologica 2;Centro;Parque Azul;18;56,66;2026-05-11 09:35:00
363;2026-05-11 12:00:00;2026-05-11 13:25:00;65;85,0;Concluida;Linha Circular 1;Centro;Bairro Industrial;98;18,05;2026-05-11 12:42:00
367;2026-05-11 14:20:00;2026-05-11 15:01:00;39;41,0;Concluida;Linha Beta Oeste;Oeste;Centro;76;25,62;2026-05-11 14:38:00
371;2026-05-11 16:40:00;2026-05-11 18:30:00;85;110,0;Concluida;Linha Hospital Norte;Centro;Hospital Alpha;49;36,86;2026-05-11 16:48:00
